respondent_id,h1n1_vaccine,seasonal_vaccine
30353,0.29,0.23
30354,0.08,0.16
30355,0.11,0.17
30356,0.02,0.08
30357,0.06,0.13
30358,0.7,0.97
30359,0.08,0.28
30360,0.56,0.82
30361,0.04,0.56
30362,0.26,0.47
30363,0.25,0.24
30364,0.38,0.7
30365,0.19,0.56
30366,0.04,0.28
30367,0.4,0.88
30368,0.03,0.08
30369,0.03,0.08
30370,0.35,0.89
30371,0.09,0.1
30372,0.16,0.24
30373,0.19,0.32
30374,0.41,0.59
30375,0.16,0.43
30376,0.21,0.27
30377,0.15,0.08
30378,0.84,0.87
30379,0.79,0.9
30380,0.08,0.37
30381,0.14,0.19
30382,0.51,0.87
30383,0.34,0.41
30384,0.41,0.43
30385,0.33,0.35
30386,0.5,0.64
30387,0.62,0.88
30388,0.06,0.1
30389,0.33,0.43
30390,0.1,0.31
30391,0.9,0.95
30392,0.25,0.4
30393,0.06,0.26
30394,0.07,0.25
30395,0.07,0.23
30396,0.23,0.14
30397,0.23,0.37
30398,0.86,0.92
30399,0.34,0.32
30400,0.17,0.62
30401,0.04,0.33
30402,0.24,0.46
30403,0.09,0.44
30404,0.08,0.75
30405,0.05,0.1
30406,0.06,0.25
30407,0.05,0.12
30408,0.05,0.21
30409,0.42,0.66
30410,0.24,0.71
30411,0.39,0.75
30412,0.48,0.45
30413,0.11,0.16
30414,0.01,0.02
30415,0.29,0.57
30416,0.09,0.09
30417,0.07,0.33
30418,0.05,0.1
30419,0.02,0.23
30420,0.05,0.35
30421,0.54,0.41
30422,0.07,0.22
30423,0.09,0.67
30424,0.01,0.06
30425,0.97,0.96
30426,0.84,0.95
30427,0.54,0.82
30428,0.37,0.66
30429,0.26,0.58
30430,0.34,0.8
30431,0.01,0.25
30432,0.33,0.54
30433,0.29,0.12
30434,0.1,0.49
30435,0.31,0.25
30436,0.01,0.21
30437,0.74,0.87
30438,0.2,0.33
30439,0.17,0.37
30440,0.72,0.81
30441,0.57,0.63
30442,0.6,0.6
30443,0.02,0.42
30444,0.01,0.09
30445,0.15,0.7
30446,0.07,0.13
30447,0.05,0.63
30448,0.08,0.38
30449,0.13,0.41
30450,0.41,0.64
30451,0.25,0.42
30452,0.21,0.38
30453,0.2,0.41
30454,0.09,0.36
30455,0.41,0.38
30456,0.27,0.52
30457,0.04,0.08
30458,0.1,0.55
30459,0.17,0.38
30460,0.41,0.41
30461,0.04,0.61
30462,0.02,0.14
30463,0.07,0.12
30464,0.56,0.71
30465,0.11,0.64
30466,0.23,0.18
30467,0.14,0.17
30468,0.03,0.19
30469,0.06,0.26
30470,0.06,0.07
30471,0.52,0.66
30472,0.12,0.11
30473,0.12,0.27
30474,0.36,0.68
30475,0.02,0.08
30476,0.16,0.51
30477,0.02,0.33
30478,0.42,0.64
30479,0.82,0.95
30480,0.05,0.36
30481,0.06,0.52
30482,0.12,0.35
30483,0.03,0.13
30484,0.18,0.46
30485,0.06,0.66
30486,0.06,0.67
30487,0.32,0.69
30488,0.37,0.54
30489,0.29,0.31
30490,0.28,0.67
30491,0.11,0.48
30492,0.02,0.24
30493,0.11,0.31
30494,0.04,0.21
30495,0.11,0.31
30496,0.15,0.32
30497,0.06,0.69
30498,0.21,0.25
30499,0.68,0.93
30500,0.02,0.05
30501,0.48,0.71
30502,0.17,0.45
30503,0.45,0.4
30504,0.21,0.65
30505,0.26,0.23
30506,0.03,0.92
30507,0.55,0.51
30508,0.63,0.91
30509,0.09,0.61
30510,0.07,0.15
30511,0.23,0.35
30512,0.0,0.12
30513,0.04,0.12
30514,0.58,0.49
30515,0.1,0.44
30516,0.02,0.13
30517,0.04,0.12
30518,0.04,0.15
30519,0.39,0.7
30520,0.06,0.22
30521,0.05,0.08
30522,0.84,0.85
30523,0.66,0.87
30524,0.02,0.11
30525,0.89,0.99
30526,0.3,0.33
30527,0.38,0.22
30528,0.03,0.62
30529,0.32,0.59
30530,0.17,0.73
30531,0.08,0.65
30532,0.17,0.22
30533,0.12,0.37
30534,0.63,0.93
30535,0.02,0.12
30536,0.53,0.76
30537,0.06,0.7
30538,0.04,0.22
30539,0.22,0.95
30540,0.03,0.7
30541,0.78,0.82
30542,0.58,0.35
30543,0.82,0.91
30544,0.03,0.13
30545,0.08,0.13
30546,0.34,0.96
30547,0.1,0.62
30548,0.02,0.85
30549,0.34,0.59
30550,0.07,0.28
30551,0.07,0.75
30552,0.23,0.94
30553,0.14,0.45
30554,0.37,0.27
30555,0.04,0.12
30556,0.12,0.42
30557,0.11,0.61
30558,0.12,0.91
30559,0.52,0.62
30560,0.06,0.08
30561,0.33,0.39
30562,0.06,0.15
30563,0.44,0.74
30564,0.06,0.83
30565,0.07,0.17
30566,0.31,0.49
30567,0.4,0.8
30568,0.65,0.65
30569,0.01,0.31
30570,0.02,0.37
30571,0.1,0.93
30572,0.12,0.49
30573,0.17,0.34
30574,0.01,0.14
30575,0.22,0.29
30576,0.05,0.15
30577,0.22,0.3
30578,0.14,0.18
30579,0.26,0.5
30580,0.0,0.11
30581,0.2,0.82
30582,0.11,0.31
30583,0.08,0.32
30584,0.01,0.18
30585,0.06,0.91
30586,0.47,0.45
30587,0.4,0.86
30588,0.04,0.46
30589,0.16,0.21
30590,0.07,0.37
30591,0.09,0.54
30592,0.64,0.79
30593,0.06,0.15
30594,0.1,0.36
30595,0.1,0.14
30596,0.15,0.97
30597,0.09,0.26
30598,0.18,0.43
30599,0.06,0.11
30600,0.2,0.3
30601,0.17,0.72
30602,0.03,0.71
30603,0.2,0.25
30604,0.15,0.24
30605,0.14,0.31
30606,0.06,0.08
30607,0.11,0.61
30608,0.05,0.21
30609,0.73,0.92
30610,0.17,0.26
30611,0.04,0.13
30612,0.06,0.05
30613,0.52,0.82
30614,0.5,0.8
30615,0.01,0.08
30616,0.13,0.22
30617,0.09,0.33
30618,0.22,0.75
30619,0.0,0.02
30620,0.31,0.79
30621,0.07,0.48
30622,0.01,0.05
30623,0.06,0.88
30624,0.08,0.81
30625,0.29,0.57
30626,0.08,0.97
30627,0.22,0.41
30628,0.08,0.54
30629,0.05,0.55
30630,0.13,0.18
30631,0.04,0.65
30632,0.11,0.33
30633,0.59,0.87
30634,0.03,0.06
30635,0.05,0.12
30636,0.27,0.45
30637,0.21,0.17
30638,0.39,0.58
30639,0.37,0.57
30640,0.05,0.43
30641,0.24,0.64
30642,0.01,0.17
30643,0.69,0.82
30644,0.04,0.06
30645,0.18,0.3
30646,0.33,0.59
30647,0.78,0.93
30648,0.12,0.69
30649,0.04,0.62
30650,0.0,0.01
30651,0.1,0.88
30652,0.12,0.57
30653,0.37,0.4
30654,0.18,0.63
30655,0.1,0.24
30656,0.05,0.08
30657,0.08,0.28
30658,0.04,0.09
30659,0.15,0.55
30660,0.03,0.42
30661,0.06,0.81
30662,0.06,0.22
30663,0.13,0.48
30664,0.4,0.48
30665,0.11,0.28
30666,0.11,0.11
30667,0.16,0.77
30668,0.11,0.42
30669,0.12,0.2
30670,0.15,0.47
30671,0.06,0.19
30672,0.4,0.81
30673,0.06,0.6
30674,0.1,0.41
30675,0.1,0.37
30676,0.07,0.21
30677,0.45,0.3
30678,0.86,0.93
30679,0.06,0.64
30680,0.88,0.82
30681,0.32,0.53
30682,0.15,0.29
30683,0.23,0.64
30684,0.07,0.22
30685,0.21,0.44
30686,0.68,0.79
30687,0.19,0.28
30688,0.15,0.45
30689,0.25,0.68
30690,0.08,0.69
30691,0.21,0.3
30692,0.39,0.77
30693,0.02,0.11
30694,0.22,0.46
30695,0.76,0.88
30696,0.15,0.19
30697,0.11,0.22
30698,0.01,0.27
30699,0.07,0.38
30700,0.38,0.78
30701,0.48,0.68
30702,0.14,0.94
30703,0.12,0.98
30704,0.07,0.23
30705,0.2,0.21
30706,0.09,0.34
30707,0.53,0.64
30708,0.12,0.35
30709,0.57,0.74
30710,0.94,0.98
30711,0.12,0.16
30712,0.05,0.08
30713,0.76,0.89
30714,0.41,0.72
30715,0.02,0.5
30716,0.15,0.86
30717,0.19,0.49
30718,0.2,0.5
30719,0.07,0.17
30720,0.18,0.25
30721,0.07,0.13
30722,0.02,0.07
30723,0.41,0.88
30724,0.03,0.93
30725,0.09,0.86
30726,0.24,0.12
30727,0.38,0.84
30728,0.9,0.99
30729,0.04,0.08
30730,0.19,0.83
30731,0.74,0.89
30732,0.37,0.36
30733,0.25,0.83
30734,0.23,0.71
30735,0.34,0.88
30736,0.63,0.87
30737,0.1,0.2
30738,0.21,0.2
30739,0.04,0.22
30740,0.11,0.31
30741,0.07,0.23
30742,0.1,0.16
30743,0.06,0.37
30744,0.08,0.16
30745,0.03,0.91
30746,0.29,0.44
30747,0.23,0.28
30748,0.08,0.47
30749,0.06,0.18
30750,0.01,0.08
30751,0.06,0.37
30752,0.31,0.67
30753,0.2,0.93
30754,0.5,0.86
30755,0.16,0.28
30756,0.13,0.49
30757,0.18,0.83
30758,0.05,0.2
30759,0.1,0.82
30760,0.16,0.78
30761,0.78,0.76
30762,0.41,0.63
30763,0.22,0.44
30764,0.08,0.13
30765,0.78,0.87
30766,0.14,0.42
30767,0.2,0.47
30768,0.03,0.08
30769,0.4,0.43
30770,0.1,0.15
30771,0.25,0.88
30772,0.35,0.88
30773,0.11,0.25
30774,0.1,0.23
30775,0.08,0.21
30776,0.08,0.16
30777,0.06,0.55
30778,0.36,0.62
30779,0.11,0.54
30780,0.01,0.05
30781,0.02,0.07
30782,0.28,0.55
30783,0.04,0.15
30784,0.3,0.53
30785,0.54,0.69
30786,0.09,0.09
30787,0.24,0.75
30788,0.28,0.3
30789,0.18,0.6
30790,0.04,0.15
30791,0.12,0.64
30792,0.4,0.77
30793,0.09,0.2
30794,0.03,0.04
30795,0.47,0.56
30796,0.65,0.8
30797,0.03,0.12
30798,0.08,0.14
30799,0.1,0.25
30800,0.37,0.67
30801,0.06,0.13
30802,0.04,0.3
30803,0.05,0.5
30804,0.23,0.86
30805,0.11,0.34
30806,0.11,0.43
30807,0.28,0.33
30808,0.18,0.2
30809,0.13,0.62
30810,0.68,0.5
30811,0.77,0.9
30812,0.15,0.17
30813,0.1,0.51
30814,0.78,0.9
30815,0.15,0.83
30816,0.05,0.29
30817,0.29,0.8
30818,0.12,0.89
30819,0.05,0.7
30820,0.24,0.22
30821,0.09,0.63
30822,0.05,0.79
30823,0.06,0.21
30824,0.52,0.77
30825,0.08,0.17
30826,0.26,0.47
30827,0.51,0.43
30828,0.07,0.09
30829,0.09,0.17
30830,0.22,0.38
30831,0.09,0.54
30832,0.05,0.11
30833,0.14,0.28
30834,0.32,0.42
30835,0.24,0.64
30836,0.0,0.04
30837,0.04,0.38
30838,0.1,0.87
30839,0.27,0.41
30840,0.1,0.6
30841,0.03,0.17
30842,0.01,0.58
30843,0.03,0.41
30844,0.19,0.39
30845,0.23,0.34
30846,0.39,0.49
30847,0.09,0.12
30848,0.08,0.06
30849,0.09,0.12
30850,0.16,0.45
30851,0.32,0.46
30852,0.02,0.05
30853,0.02,0.13
30854,0.07,0.39
30855,0.23,0.67
30856,0.1,0.32
30857,0.09,0.22
30858,0.36,0.53
30859,0.04,0.25
30860,0.13,0.5
30861,0.76,0.68
30862,0.66,0.76
30863,0.12,0.43
30864,0.06,0.21
30865,0.09,0.22
30866,0.06,0.01
30867,0.67,0.76
30868,0.31,0.49
30869,0.13,0.41
30870,0.06,0.6
30871,0.35,0.41
30872,0.0,0.07
30873,0.58,0.91
30874,0.06,0.16
30875,0.0,0.14
30876,0.09,0.17
30877,0.17,0.69
30878,0.07,0.19
30879,0.21,0.31
30880,0.17,0.42
30881,0.3,0.82
30882,0.09,0.3
30883,0.06,0.14
30884,0.03,0.79
30885,0.05,0.27
30886,0.11,0.99
30887,0.09,0.19
30888,0.03,0.34
30889,0.32,0.46
30890,0.77,0.77
30891,0.23,0.42
30892,0.01,0.05
30893,0.3,0.58
30894,0.26,0.39
30895,0.31,0.81
30896,0.46,0.58
30897,0.09,0.58
30898,0.02,0.86
30899,0.18,0.97
30900,0.08,0.35
30901,0.67,0.85
30902,0.03,0.1
30903,0.09,0.16
30904,0.14,0.3
30905,0.47,0.73
30906,0.2,0.43
30907,0.03,0.16
30908,0.1,0.34
30909,0.05,0.61
30910,0.76,0.87
30911,0.17,0.56
30912,0.15,0.68
30913,0.0,0.31
30914,0.01,0.07
30915,0.54,0.84
30916,0.04,0.07
30917,0.32,0.55
30918,0.24,0.55
30919,0.19,0.13
30920,0.12,0.13
30921,0.25,0.54
30922,0.24,0.2
30923,0.06,0.35
30924,0.18,0.17
30925,0.61,0.81
30926,0.65,0.68
30927,0.14,0.34
30928,0.4,0.49
30929,0.21,0.32
30930,0.59,0.85
30931,0.11,0.75
30932,0.3,0.76
30933,0.23,0.49
30934,0.21,0.24
30935,0.12,0.56
30936,0.27,0.18
30937,0.36,0.78
30938,0.06,0.92
30939,0.19,0.4
30940,0.04,0.93
30941,0.01,0.02
30942,0.23,0.74
30943,0.1,0.85
30944,0.19,0.37
30945,0.01,0.07
30946,0.19,0.62
30947,0.43,0.44
30948,0.17,0.67
30949,0.06,0.89
30950,0.03,0.94
30951,0.06,0.23
30952,0.15,0.27
30953,0.08,0.45
30954,0.7,0.69
30955,0.08,0.75
30956,0.23,0.63
30957,0.02,0.22
30958,0.59,0.71
30959,0.6,0.78
30960,0.3,0.39
30961,0.32,0.59
30962,0.08,0.1
30963,0.11,0.88
30964,0.03,0.57
30965,0.07,0.45
30966,0.03,0.07
30967,0.78,0.82
30968,0.23,0.62
30969,0.46,0.83
30970,0.03,0.23
30971,0.07,0.02
30972,0.13,0.51
30973,0.23,0.3
30974,0.07,0.74
30975,0.5,0.57
30976,0.18,0.33
30977,0.09,0.41
30978,0.27,0.46
30979,0.43,0.72
30980,0.88,0.94
30981,0.13,0.29
30982,0.07,0.21
30983,0.12,0.79
30984,0.41,0.53
30985,0.52,0.76
30986,0.06,0.22
30987,0.06,0.18
30988,0.21,0.75
30989,0.08,0.9
30990,0.7,0.83
30991,0.04,0.21
30992,0.27,0.3
30993,0.04,0.2
30994,0.02,0.21
30995,0.09,0.19
30996,0.13,0.56
30997,0.36,0.77
30998,0.15,0.73
30999,0.33,0.83
31000,0.02,0.17
31001,0.63,0.81
31002,0.02,0.15
31003,0.05,0.16
31004,0.48,0.74
31005,0.38,0.57
31006,0.04,0.11
31007,0.09,0.51
31008,0.38,0.45
31009,0.14,0.34
31010,0.48,0.46
31011,0.17,0.56
31012,0.68,0.46
31013,0.31,0.25
31014,0.16,0.27
31015,0.01,0.15
31016,0.48,0.6
31017,0.04,0.16
31018,0.19,0.28
31019,0.06,0.72
31020,0.08,0.49
31021,0.03,0.08
31022,0.26,0.86
31023,0.08,0.19
31024,0.12,0.26
31025,0.86,0.86
31026,0.01,0.17
31027,0.46,0.62
31028,0.06,0.69
31029,0.07,0.08
31030,0.06,0.33
31031,0.04,0.51
31032,0.09,0.38
31033,0.03,0.1
31034,0.08,0.84
31035,0.49,0.85
31036,0.5,0.77
31037,0.12,0.33
31038,0.03,0.3
31039,0.09,0.87
31040,0.15,0.25
31041,0.1,0.85
31042,0.13,0.34
31043,0.2,0.51
31044,0.06,0.31
31045,0.2,0.7
31046,0.25,0.53
31047,0.02,0.06
31048,0.39,0.79
31049,0.2,0.26
31050,0.03,0.07
31051,0.15,0.3
31052,0.38,0.68
31053,0.05,0.17
31054,0.47,0.52
31055,0.23,0.51
31056,0.04,0.12
31057,0.58,0.69
31058,0.02,0.73
31059,0.06,0.37
31060,0.47,0.84
31061,0.0,0.39
31062,0.38,0.42
31063,0.26,0.7
31064,0.2,0.37
31065,0.23,0.18
31066,0.55,0.9
31067,0.18,0.25
31068,0.21,0.35
31069,0.9,0.94
31070,0.14,0.52
31071,0.49,0.59
31072,0.05,0.15
31073,0.3,0.89
31074,0.23,0.79
31075,0.13,0.74
31076,0.74,0.89
31077,0.23,0.26
31078,0.05,0.09
31079,0.72,0.88
31080,0.71,0.88
31081,0.14,0.64
31082,0.31,0.64
31083,0.13,0.83
31084,0.02,0.09
31085,0.2,0.23
31086,0.02,0.22
31087,0.29,0.77
31088,0.2,0.72
31089,0.08,0.1
31090,0.54,0.58
31091,0.15,0.69
31092,0.09,0.19
31093,0.1,0.17
31094,0.19,0.68
31095,0.08,0.31
31096,0.03,0.19
31097,0.73,0.81
31098,0.01,0.06
31099,0.07,0.24
31100,0.12,0.75
31101,0.37,0.42
31102,0.18,0.78
31103,0.34,0.88
31104,0.12,0.75
31105,0.12,0.61
31106,0.09,0.59
31107,0.29,0.58
31108,0.08,0.18
31109,0.17,0.09
31110,0.01,0.12
31111,0.2,0.59
31112,0.02,0.2
31113,0.25,0.3
31114,0.08,0.74
31115,0.03,0.12
31116,0.02,0.12
31117,0.28,0.83
31118,0.1,0.6
31119,0.07,0.13
31120,0.09,0.23
31121,0.86,0.89
31122,0.64,0.61
31123,0.15,0.25
31124,0.07,0.1
31125,0.32,0.38
31126,0.05,0.17
31127,0.3,0.3
31128,0.04,0.5
31129,0.03,0.07
31130,0.04,0.12
31131,0.8,0.84
31132,0.21,0.8
31133,0.08,0.15
31134,0.25,0.58
31135,0.07,0.72
31136,0.25,0.82
31137,0.04,0.14
31138,0.76,0.51
31139,0.45,0.6
31140,0.08,0.12
31141,0.14,0.78
31142,0.77,0.95
31143,0.28,0.51
31144,0.0,0.71
31145,0.49,0.59
31146,0.12,0.03
31147,0.21,0.63
31148,0.33,0.59
31149,0.05,0.1
31150,0.02,0.59
31151,0.05,0.08
31152,0.18,0.54
31153,0.04,0.23
31154,0.37,0.28
31155,0.77,0.96
31156,0.09,0.23
31157,0.39,0.85
31158,0.88,0.95
31159,0.07,0.1
31160,0.0,0.28
31161,0.28,0.48
31162,0.36,0.79
31163,0.33,0.31
31164,0.23,0.52
31165,0.2,0.26
31166,0.01,0.28
31167,0.11,0.19
31168,0.27,0.52
31169,0.07,0.36
31170,0.15,0.18
31171,0.16,0.29
31172,0.77,0.81
31173,0.32,0.68
31174,0.28,0.23
31175,0.1,0.27
31176,0.48,0.49
31177,0.03,0.82
31178,0.55,0.88
31179,0.43,0.74
31180,0.04,0.42
31181,0.24,0.63
31182,0.02,0.56
31183,0.25,0.29
31184,0.05,0.05
31185,0.07,0.46
31186,0.19,0.47
31187,0.05,0.14
31188,0.06,0.2
31189,0.13,0.38
31190,0.2,0.36
31191,0.31,0.51
31192,0.07,0.2
31193,0.02,0.28
31194,0.07,0.24
31195,0.25,0.2
31196,0.43,0.77
31197,0.02,0.3
31198,0.07,0.09
31199,0.13,0.31
31200,0.12,0.46
31201,0.01,0.09
31202,0.42,0.86
31203,0.01,0.06
31204,0.04,0.13
31205,0.09,0.98
31206,0.05,0.3
31207,0.14,0.24
31208,0.38,0.74
31209,0.34,0.5
31210,0.23,0.69
31211,0.07,0.15
31212,0.03,0.34
31213,0.05,0.18
31214,0.23,0.34
31215,0.02,0.74
31216,0.02,0.08
31217,0.14,0.65
31218,0.56,0.87
31219,0.37,0.74
31220,0.14,0.28
31221,0.2,0.47
31222,0.07,0.62
31223,0.11,0.4
31224,0.16,0.7
31225,0.02,0.07
31226,0.34,0.82
31227,0.13,0.2
31228,0.33,0.44
31229,0.27,0.71
31230,0.03,0.23
31231,0.04,0.09
31232,0.02,0.7
31233,0.57,0.73
31234,0.64,0.84
31235,0.47,0.57
31236,0.34,0.97
31237,0.07,0.45
31238,0.45,0.88
31239,0.74,0.72
31240,0.35,0.72
31241,0.17,0.34
31242,0.01,0.12
31243,0.17,0.49
31244,0.39,0.6
31245,0.26,0.4
31246,0.01,0.31
31247,0.14,0.74
31248,0.46,0.67
31249,0.1,0.13
31250,0.19,0.57
31251,0.59,0.91
31252,0.28,0.17
31253,0.15,0.96
31254,0.26,0.36
31255,0.31,0.6
31256,0.04,0.26
31257,0.03,0.46
31258,0.08,0.17
31259,0.14,0.76
31260,0.02,0.12
31261,0.0,0.17
31262,0.71,0.86
31263,0.2,0.23
31264,0.07,0.2
31265,0.42,0.51
31266,0.03,0.03
31267,0.19,0.86
31268,0.68,0.95
31269,0.16,0.3
31270,0.26,0.58
31271,0.12,0.41
31272,0.67,0.71
31273,0.3,0.33
31274,0.25,0.71
31275,0.05,0.09
31276,0.05,0.96
31277,0.14,0.24
31278,0.06,0.34
31279,0.03,0.16
31280,0.26,0.81
31281,0.05,0.1
31282,0.25,0.6
31283,0.05,0.35
31284,0.03,0.27
31285,0.06,0.96
31286,0.39,0.6
31287,0.02,0.51
31288,0.06,0.22
31289,0.16,0.7
31290,0.07,0.11
31291,0.05,0.03
31292,0.05,0.9
31293,0.15,0.6
31294,0.84,0.91
31295,0.03,0.21
31296,0.37,0.6
31297,0.08,0.88
31298,0.15,0.88
31299,0.31,0.48
31300,0.4,0.73
31301,0.71,0.7
31302,0.08,0.45
31303,0.15,0.11
31304,0.08,0.33
31305,0.33,0.71
31306,0.31,0.63
31307,0.02,0.03
31308,0.41,0.46
31309,0.07,0.49
31310,0.33,0.7
31311,0.12,0.25
31312,0.29,0.79
31313,0.17,0.27
31314,0.11,0.44
31315,0.19,0.25
31316,0.04,0.08
31317,0.03,0.05
31318,0.19,0.56
31319,0.29,0.48
31320,0.11,0.82
31321,0.17,0.21
31322,0.74,0.92
31323,0.48,0.78
31324,0.05,0.17
31325,0.24,0.57
31326,0.8,0.77
31327,0.06,0.46
31328,0.84,0.94
31329,0.06,0.63
31330,0.0,0.06
31331,0.17,0.42
31332,0.56,0.76
31333,0.24,0.75
31334,0.38,0.32
31335,0.12,0.15
31336,0.16,0.43
31337,0.05,0.22
31338,0.17,0.25
31339,0.12,0.7
31340,0.07,0.14
31341,0.24,0.6
31342,0.1,0.35
31343,0.12,0.33
31344,0.65,0.58
31345,0.58,0.94
31346,0.08,0.42
31347,0.16,0.53
31348,0.44,0.61
31349,0.03,0.16
31350,0.4,0.76
31351,0.01,0.79
31352,0.02,0.17
31353,0.16,0.32
31354,0.07,0.74
31355,0.0,0.72
31356,0.14,0.36
31357,0.41,0.53
31358,0.03,0.13
31359,0.02,0.16
31360,0.04,0.16
31361,0.28,0.47
31362,0.05,0.2
31363,0.63,0.75
31364,0.32,0.53
31365,0.45,0.63
31366,0.08,0.16
31367,0.08,0.17
31368,0.1,0.35
31369,0.56,0.72
31370,0.05,0.19
31371,0.04,0.12
31372,0.79,0.73
31373,0.01,0.45
31374,0.13,0.43
31375,0.26,0.72
31376,0.12,0.72
31377,0.85,0.9
31378,0.2,0.44
31379,0.72,0.81
31380,0.55,0.55
31381,0.14,0.2
31382,0.13,0.63
31383,0.92,0.98
31384,0.83,0.89
31385,0.39,0.78
31386,0.26,0.74
31387,0.42,0.67
31388,0.55,0.44
31389,0.11,0.69
31390,0.04,0.69
31391,0.8,0.89
31392,0.38,0.82
31393,0.14,0.16
31394,0.33,0.45
31395,0.0,0.11
31396,0.5,0.66
31397,0.11,0.29
31398,0.24,0.43
31399,0.88,0.92
31400,0.92,0.76
31401,0.08,0.62
31402,0.33,0.7
31403,0.42,0.25
31404,0.06,0.17
31405,0.05,0.44
31406,0.04,0.51
31407,0.62,0.52
31408,0.08,0.21
31409,0.08,0.16
31410,0.24,0.36
31411,0.23,0.24
31412,0.23,0.67
31413,0.24,0.22
31414,0.04,0.1
31415,0.03,0.31
31416,0.13,0.48
31417,0.48,0.81
31418,0.07,0.12
31419,0.72,0.87
31420,0.02,0.04
31421,0.07,0.22
31422,0.25,0.22
31423,0.72,0.91
31424,0.19,0.44
31425,0.06,0.38
31426,0.35,0.67
31427,0.19,0.6
31428,0.09,0.67
31429,0.07,0.69
31430,0.26,0.56
31431,0.15,0.18
31432,0.02,0.13
31433,0.61,0.88
31434,0.43,0.58
31435,0.04,0.26
31436,0.23,0.67
31437,0.35,0.79
31438,0.27,0.35
31439,0.64,0.84
31440,0.19,0.7
31441,0.34,0.78
31442,0.77,0.83
31443,0.02,0.06
31444,0.03,0.18
31445,0.26,0.3
31446,0.76,0.91
31447,0.22,0.66
31448,0.89,0.99
31449,0.06,0.12
31450,0.3,0.84
31451,0.3,0.66
31452,0.14,0.22
31453,0.07,0.3
31454,0.77,0.82
31455,0.19,0.9
31456,0.08,0.48
31457,0.24,0.3
31458,0.43,0.44
31459,0.06,0.19
31460,0.05,0.07
31461,0.14,0.46
31462,0.03,0.92
31463,0.06,0.76
31464,0.05,0.53
31465,0.81,0.95
31466,0.06,0.26
31467,0.66,0.9
31468,0.24,0.46
31469,0.36,0.49
31470,0.09,0.7
31471,0.08,0.65
31472,0.45,0.81
31473,0.78,0.89
31474,0.48,0.8
31475,0.69,0.81
31476,0.03,0.16
31477,0.27,0.31
31478,0.03,0.17
31479,0.43,0.9
31480,0.01,0.09
31481,0.04,0.55
31482,0.46,0.87
31483,0.24,0.11
31484,0.02,0.02
31485,0.02,0.04
31486,0.07,0.57
31487,0.74,0.82
31488,0.04,0.17
31489,0.79,0.89
31490,0.74,0.86
31491,0.32,0.73
31492,0.49,0.4
31493,0.03,0.16
31494,0.07,0.15
31495,0.04,0.56
31496,0.38,0.76
31497,0.02,0.07
31498,0.09,0.21
31499,0.03,0.49
31500,0.87,0.93
31501,0.12,0.6
31502,0.06,0.26
31503,0.14,0.26
31504,0.5,0.65
31505,0.68,0.91
31506,0.21,0.2
31507,0.21,0.78
31508,0.33,0.48
31509,0.05,0.88
31510,0.12,0.62
31511,0.15,0.29
31512,0.3,0.46
31513,0.38,0.35
31514,0.74,0.74
31515,0.3,0.47
31516,0.03,0.04
31517,0.23,0.55
31518,0.14,0.65
31519,0.03,0.61
31520,0.09,0.72
31521,0.15,0.85
31522,0.79,0.89
31523,0.13,0.51
31524,0.02,0.09
31525,0.54,0.83
31526,0.55,0.88
31527,0.09,0.4
31528,0.14,0.43
31529,0.27,0.45
31530,0.04,0.16
31531,0.27,0.29
31532,0.01,0.18
31533,0.85,0.82
31534,0.25,0.17
31535,0.45,0.7
31536,0.17,0.82
31537,0.04,0.2
31538,0.02,0.2
31539,0.78,0.86
31540,0.04,0.53
31541,0.01,0.44
31542,0.26,0.31
31543,0.15,0.25
31544,0.63,0.88
31545,0.03,0.54
31546,0.08,0.18
31547,0.83,0.94
31548,0.24,0.38
31549,0.09,0.8
31550,0.09,0.14
31551,0.49,0.55
31552,0.06,0.96
31553,0.27,0.56
31554,0.09,0.1
31555,0.5,0.75
31556,0.3,0.44
31557,0.01,0.12
31558,0.12,0.35
31559,0.34,0.65
31560,0.72,0.68
31561,0.1,0.09
31562,0.08,0.13
31563,0.02,0.11
31564,0.16,0.64
31565,0.25,0.79
31566,0.3,0.23
31567,0.08,0.25
31568,0.11,0.93
31569,0.07,0.21
31570,0.56,0.77
31571,0.11,0.55
31572,0.12,0.4
31573,0.32,0.24
31574,0.24,0.88
31575,0.26,0.47
31576,0.29,0.57
31577,0.11,0.47
31578,0.25,0.71
31579,0.13,0.21
31580,0.28,0.71
31581,0.69,0.83
31582,0.24,0.44
31583,0.08,0.73
31584,0.17,0.38
31585,0.12,0.18
31586,0.01,0.06
31587,0.09,0.58
31588,0.2,0.45
31589,0.15,0.2
31590,0.52,0.26
31591,0.13,0.32
31592,0.2,0.16
31593,0.05,0.35
31594,0.08,0.48
31595,0.14,0.28
31596,0.32,0.73
31597,0.04,0.6
31598,0.4,0.81
31599,0.39,0.86
31600,0.31,0.64
31601,0.18,0.7
31602,0.01,0.03
31603,0.16,0.41
31604,0.13,0.32
31605,0.11,0.37
31606,0.01,0.25
31607,0.24,0.48
31608,0.23,0.45
31609,0.17,0.25
31610,0.01,0.3
31611,0.04,0.67
31612,0.3,0.42
31613,0.03,0.03
31614,0.03,0.13
31615,0.24,0.34
31616,0.09,0.5
31617,0.25,0.71
31618,0.22,0.43
31619,0.22,0.34
31620,0.05,0.18
31621,0.02,0.12
31622,0.71,0.88
